epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6472.35,1.4255,0.93653,2.06221,1.55499,0.14154,0.23957,0.10311,0.05565,0.14154,0.23957,0.10373,0.0545,2.0361,0.57856,3.26351,2.01404,0.000891125,0.000891125,0.000891125
31,6656.27,1.40205,0.9449,1.94696,1.50768,0.14041,0.26375,0.10541,0.05106,0.14623,0.27268,0.10706,0.05035,2.04621,0.58398,3.24831,2.03304,0.00087875,0.00087875,0.00087875
32,6839.46,1.43528,0.90116,1.94816,1.52077,0.19145,0.23614,0.12885,0.05553,0.18938,0.22632,0.12717,0.05436,2.14758,0.56304,3.01231,2.09166,0.000866375,0.000866375,0.000866375
33,7040.79,1.38572,0.84837,1.84576,1.47918,0.17222,0.18076,0.13136,0.06773,0.19297,0.19812,0.1426,0.0658,2.04463,0.53923,3.09754,2.00291,0.000854,0.000854,0.000854
34,7244.11,1.35908,0.86025,1.81464,1.46912,0.16499,0.22638,0.11972,0.05763,0.16499,0.22638,0.12214,0.05785,2.13925,0.56403,3.0547,2.08536,0.000841625,0.000841625,0.000841625
35,7440.76,1.35996,0.90436,1.76094,1.45168,0.13984,0.21507,0.10006,0.04681,0.14384,0.23293,0.10085,0.04765,2.01867,0.59926,3.2038,1.99108,0.00082925,0.00082925,0.00082925
36,7646.09,1.37969,0.86848,1.76853,1.46013,0.22589,0.21906,0.13826,0.07135,0.22589,0.21906,0.13851,0.07385,1.98958,0.55081,3.01087,2.03265,0.000816875,0.000816875,0.000816875
37,7849.01,1.37481,0.90343,1.81916,1.49772,0.25791,0.20482,0.14845,0.07716,0.25791,0.20482,0.14845,0.07955,2.03234,0.61238,2.96295,2.05387,0.0008045,0.0008045,0.0008045
38,8039.97,1.35629,0.86014,1.7416,1.45116,0.1687,0.2688,0.12058,0.06128,0.17327,0.30618,0.12435,0.06332,2.10075,0.58639,3.12122,2.11704,0.000792125,0.000792125,0.000792125
39,8229.55,1.31643,0.93873,1.65727,1.43214,0.15673,0.25686,0.13113,0.05656,0.15186,0.24793,0.12725,0.06005,2.05085,0.60254,2.98669,2.04358,0.00077975,0.00077975,0.00077975
40,8403.34,1.28709,0.8879,1.70312,1.42874,0.17479,0.29549,0.1495,0.06802,0.18091,0.30382,0.15133,0.06969,2.04729,0.64225,3.13184,2.10134,0.000767375,0.000767375,0.000767375
41,8578.39,1.30673,0.91324,1.64169,1.43137,0.23945,0.22935,0.14915,0.07141,0.25833,0.23103,0.15603,0.07314,2.12796,0.57024,3.04868,2.17535,0.000755,0.000755,0.000755
42,8766.75,1.30683,0.9166,1.66512,1.43,0.19794,0.25983,0.15612,0.0827,0.19794,0.25983,0.15712,0.08473,2.03198,0.56739,3.05613,2.03177,0.000742625,0.000742625,0.000742625
43,8954.83,1.28406,0.8599,1.6306,1.41601,0.2398,0.27776,0.16449,0.08775,0.2398,0.27776,0.16665,0.09066,1.98238,0.55039,3.19881,2.03837,0.00073025,0.00073025,0.00073025
44,9148.45,1.28414,0.83599,1.58755,1.40183,0.18509,0.1859,0.11628,0.05873,0.18509,0.1859,0.11618,0.06139,2.07195,0.60089,3.15429,2.1554,0.000717875,0.000717875,0.000717875
45,9336.27,1.24541,0.78089,1.54238,1.38121,0.22666,0.18697,0.1371,0.06095,0.20371,0.16078,0.12954,0.061,2.13815,0.58923,3.03466,2.23187,0.0007055,0.0007055,0.0007055
46,9522.4,1.21679,0.77653,1.50247,1.36979,0.19316,0.21105,0.13701,0.06964,0.19316,0.21105,0.13763,0.0694,2.05915,0.52098,3.10375,2.16901,0.000693125,0.000693125,0.000693125
47,9713.58,1.32956,0.84972,1.63271,1.45961,0.16562,0.17915,0.13312,0.06712,0.16562,0.17915,0.13354,0.06963,2.02999,0.62874,3.3067,2.07368,0.00068075,0.00068075,0.00068075
48,9910.71,1.26134,0.80612,1.52621,1.38098,0.19422,0.26328,0.1509,0.07329,0.19228,0.21962,0.14327,0.07102,2.05286,0.59083,2.95762,2.11454,0.000668375,0.000668375,0.000668375
49,10106.8,1.2404,0.83814,1.51143,1.36923,0.14283,0.28669,0.13881,0.06525,0.14283,0.28669,0.14018,0.06644,2.07804,0.54375,3.08528,2.10666,0.000656,0.000656,0.000656
50,10304,1.19589,0.82518,1.42012,1.35374,0.17265,0.2728,0.13842,0.07481,0.17265,0.2728,0.1403,0.07371,2.10705,0.54653,3.31762,2.18086,0.000643625,0.000643625,0.000643625
51,10447.8,1.17587,0.7773,1.39894,1.32873,0.18326,0.21316,0.1285,0.07472,0.18326,0.21316,0.12948,0.075,2.05236,0.60265,3.30942,2.13201,0.00063125,0.00063125,0.00063125
52,10676,1.25021,0.72649,1.402,1.38667,0.19121,0.19132,0.12681,0.07414,0.19121,0.19132,0.12611,0.07189,2.07821,0.65864,3.37789,2.19745,0.000618875,0.000618875,0.000618875
53,12322.7,1.21362,0.84245,1.41666,1.3492,0.313,0.13518,0.14666,0.08293,0.313,0.13518,0.14839,0.08355,2.07721,0.59707,3.19174,2.12749,0.0006065,0.0006065,0.0006065
54,12541.9,1.17865,0.77746,1.35563,1.32119,0.2196,0.25643,0.17342,0.08523,0.2196,0.25643,0.17362,0.08444,2.1369,0.5895,3.12486,2.20505,0.000594125,0.000594125,0.000594125
55,12662.5,1.16774,0.77137,1.31448,1.30801,0.26456,0.28716,0.18612,0.09699,0.26456,0.28716,0.18639,0.09542,2.05215,0.6239,3.05553,2.13021,0.00058175,0.00058175,0.00058175
56,12783.5,1.18974,0.8405,1.34097,1.32168,0.29698,0.26506,0.17303,0.07952,0.28926,0.26597,0.16325,0.07837,2.0383,0.56068,3.11895,2.08689,0.000569375,0.000569375,0.000569375
57,12904.1,1.1851,0.79078,1.29901,1.31562,0.22657,0.21435,0.15482,0.07925,0.22657,0.21435,0.15521,0.0786,2.05818,0.50987,3.19835,2.15129,0.000557,0.000557,0.000557
58,13025.3,1.17946,0.7768,1.31959,1.32961,0.16036,0.23358,0.14613,0.07672,0.16036,0.23358,0.14526,0.07834,2.03829,0.51445,3.36513,2.108,0.000544625,0.000544625,0.000544625
59,13146.8,1.16472,0.74745,1.29126,1.3048,0.20597,0.21222,0.14919,0.08121,0.20597,0.21222,0.14967,0.07959,2.07528,0.49711,3.22201,2.1773,0.00053225,0.00053225,0.00053225
60,13271.5,1.1361,0.79262,1.28994,1.30985,0.31547,0.15959,0.1407,0.08177,0.31547,0.15959,0.14257,0.08276,2.05806,0.47893,3.31682,2.18965,0.000519875,0.000519875,0.000519875
